날짜,SPX Index,SPXT Index,VOO US Equity,KBPMGO10 Index,148070 KS Equity
2007-05-23,1419060,2203060,#N/A N/A,166.4758,#N/A N/A
2007-05-24,1406810,2184290,#N/A N/A,166.4992,#N/A N/A
2007-05-25,1406980,2184560,#N/A N/A,166.5234,#N/A N/A
2007-05-28,1406980,2184560,#N/A N/A,166.5525,#N/A N/A
2007-05-29,1408280,2186830,#N/A N/A,166.7475,#N/A N/A
2007-05-30,1422660,2209980,#N/A N/A,166.4154,#N/A N/A
2007-05-31,1421030,2207500,#N/A N/A,166.5927,#N/A N/A
2007-06-01,1426800,2216460,#N/A N/A,166.7938,#N/A N/A
2007-06-04,1428280,2218850,#N/A N/A,166.8642,#N/A N/A
2007-06-05,1420340,2206600,#N/A N/A,166.778,#N/A N/A
2007-06-06,1409340,2190070,#N/A N/A,166.8016,#N/A N/A
2007-06-07,1381520,2146930,#N/A N/A,166.2793,#N/A N/A
2007-06-08,1406360,2185530,#N/A N/A,165.4335,#N/A N/A
2007-06-11,1406800,2186260,#N/A N/A,165.1833,#N/A N/A
2007-06-12,1388930,2158500,#N/A N/A,164.7773,#N/A N/A
2007-06-13,1412610,2195810,#N/A N/A,164.8015,#N/A N/A
2007-06-14,1416060,2201320,#N/A N/A,164.9799,#N/A N/A
2007-06-15,1422080,2210680,#N/A N/A,165.0041,#N/A N/A
2007-06-18,1421960,2210510,#N/A N/A,165.0766,#N/A N/A
2007-06-19,1417760,2204010,#N/A N/A,165.0303,#N/A N/A
2007-06-20,1403160,2181360,#N/A N/A,164.6246,#N/A N/A
2007-06-21,1410150,2192720,#N/A N/A,163.4463,#N/A N/A
2007-06-22,1394380,2168190,#N/A N/A,163.8968,#N/A N/A
2007-06-25,1388260,2158670,#N/A N/A,164.4174,#N/A N/A
2007-06-26,1385110,2153850,#N/A N/A,164.4418,#N/A N/A
2007-06-27,1397740,2173920,#N/A N/A,165.1095,#N/A N/A
2007-06-28,1394590,2169070,#N/A N/A,165.416,#N/A N/A
2007-06-29,1386990,2157270,#N/A N/A,165.2024,#N/A N/A
2007-07-02,1400350,2178070,#N/A N/A,165.06,#N/A N/A
2007-07-03,1399880,2177770,#N/A N/A,165.015,#N/A N/A
2007-07-04,1399880,2177770,#N/A N/A,164.8251,#N/A N/A
2007-07-05,1404820,2185480,#N/A N/A,164.5965,#N/A N/A
2007-07-06,1407320,2189990,#N/A N/A,164.7273,#N/A N/A
2007-07-09,1410840,2195480,#N/A N/A,165.0148,#N/A N/A
2007-07-10,1389990,2163040,#N/A N/A,165.039,#N/A N/A
2007-07-11,1396120,2172850,#N/A N/A,165.73,#N/A N/A
2007-07-12,1422110,2213310,#N/A N/A,165.0104,#N/A N/A
2007-07-13,1423100,2214880,#N/A N/A,164.7187,#N/A N/A
2007-07-16,1422820,2214450,#N/A N/A,164.7889,#N/A N/A
2007-07-17,1422680,2214230,#N/A N/A,164.8135,#N/A N/A
2007-07-18,1417610,2206580,#N/A N/A,165.0503,#N/A N/A
2007-07-19,1421140,2212130,#N/A N/A,165.0749,#N/A N/A
2007-07-20,1404690,2186540,#N/A N/A,165.0311,#N/A N/A
2007-07-23,1411070,2196510,#N/A N/A,165.4242,#N/A N/A
2007-07-24,1379960,2148070,#N/A N/A,165.1295,#N/A N/A
2007-07-25,1387500,2159840,#N/A N/A,165.9,#N/A N/A
2007-07-26,1361430,2119250,#N/A N/A,166.4595,#N/A N/A
2007-07-27,1346980,2097080,#N/A N/A,167.2749,#N/A N/A
2007-07-30,1358720,2115410,#N/A N/A,167.0243,#N/A N/A
2007-07-31,1337620,2082560,#N/A N/A,167.479,#N/A N/A
2007-08-01,1356090,2111470,#N/A N/A,168.1128,#N/A N/A
2007-08-02,1358660,2115970,#N/A N/A,167.8123,#N/A N/A
2007-08-03,1322500,2059780,#N/A N/A,167.8363,#N/A N/A
2007-08-06,1355370,2111010,#N/A N/A,167.9084,#N/A N/A
2007-08-07,1362340,2121950,#N/A N/A,167.5017,#N/A N/A
2007-08-08,1383830,2156150,#N/A N/A,167.2038,#N/A N/A
2007-08-09,1344180,2094780,#N/A N/A,166.6931,#N/A N/A
2007-08-10,1352610,2107920,#N/A N/A,167.8939,#N/A N/A
2007-08-13,1350990,2105720,#N/A N/A,167.5368,#N/A N/A
2007-08-14,1330080,2073340,#N/A N/A,167.4539,#N/A N/A
2007-08-15,1316250,2052360,#N/A N/A,167.4781,#N/A N/A
2007-08-16,1335270,2082110,#N/A N/A,168.1463,#N/A N/A
2007-08-17,1364390,2127520,#N/A N/A,168.1705,#N/A N/A
2007-08-20,1365180,2128750,#N/A N/A,167.8136,#N/A N/A
2007-08-21,1372300,2139860,#N/A N/A,167.8379,#N/A N/A
2007-08-22,1382270,2155530,#N/A N/A,167.4351,#N/A N/A
2007-08-23,1380750,2153190,#N/A N/A,167.0326,#N/A N/A
2007-08-24,1393120,2172710,#N/A N/A,167.1664,#N/A N/A
2007-08-27,1377310,2148080,#N/A N/A,166.8176,#N/A N/A
2007-08-28,1345990,2099310,#N/A N/A,166.5241,#N/A N/A
2007-08-29,1376810,2147940,#N/A N/A,166.3372,#N/A N/A
2007-08-30,1370760,2138620,#N/A N/A,166.6429,#N/A N/A
2007-08-31,1383040,2157820,#N/A N/A,166.1719,#N/A N/A
2007-09-03,1383040,2157820,#N/A N/A,166.0347,#N/A N/A
2007-09-04,1398270,2181610,#N/A N/A,166.2706,#N/A N/A
2007-09-05,1381050,2155750,#N/A N/A,166.5066,#N/A N/A
2007-09-06,1388650,2168000,#N/A N/A,166.5315,#N/A N/A
2007-09-07,1366920,2134070,#N/A N/A,167.0799,#N/A N/A
2007-09-10,1364450,2130290,#N/A N/A,167.8326,#N/A N/A
2007-09-11,1378270,2151870,#N/A N/A,167.2847,#N/A N/A
2007-09-12,1370610,2140480,#N/A N/A,167.5374,#N/A N/A
2007-09-13,1376810,2150290,#N/A N/A,167.5617,#N/A N/A
2007-09-14,1377390,2151200,#N/A N/A,167.2435,#N/A N/A
2007-09-17,1373290,2144810,#N/A N/A,167.0888,#N/A N/A
2007-09-18,1413700,2207950,#N/A N/A,167.2269,#N/A N/A
2007-09-19,1414660,2209520,#N/A N/A,167.0767,#N/A N/A
2007-09-20,1395270,2179720,#N/A N/A,166.6461,#N/A N/A
